"Abercrombie",12
"Alexander",10
"Allen",6
"Ashy",5
"Bailey",7
"Bell",5
"Berlon",7
"Carson",7
"Clark",6
"Conway",7
"Davis",6
"Degette",8
"Delauro",8
"Emanuel",8
"Etheridge",10
"Farkas",7
"Fox",4
"Hardenbrook",12
"Herseth",8
"Hill",5
"Holden",7
"Jones",6
"Kelly",6
"Kennedy",8
"Kind",5
"Langevin",9
"Marshall",9
"Michaud",8
"Moore",6
"Moran",6
"Nolla",6
"Norris",7
"Oberstar",9
"Obey",5
"Quick",6
"Reese",6
"Richardson",11
"Roberts",8
"Romero",7
"Ruppersberger",14
"Sanchez",8
"Sanders",8
"Shows",6
"Smith",6
"Souza",6
"Sumers",7
"Swett",6
"Thomas",7
"Visclosky",10
"Woodside",9
